U+3022	〢	⿰丨丨
U+4E46	乆	⿰𠂈乀
U+4E62	乢	⿰山乚
U+4E63	乣	⿰幺乚
U+4E68	乨	⿰台乚
U+4E69	乩	⿰占乚
U+4E71	乱	⿰舌乚
U+4E73	乳	⿰孚乚
U+4E75	乵	⿰辛乚
U+4E79	乹	⿰𠦝乚
U+4E7E	乾	⿰𠦝乞
U+4E82	亂	⿰𤔔乚
U+4E83	亃	⿰粦乚
U+4E84	亄	⿰壹乚
U+4EB8	亸	⿰享单
U+4EBF	亿	⿰亻乙
U+4EC0	什	⿰亻十
U+4EC1	仁	⿰亻二
U+4EC2	仂	⿰亻力
U+4EC3	仃	⿰亻丁
U+4EC5	仅	⿰亻又
U+4EC6	仆	⿰亻卜
U+4EC7	仇	⿰亻九
U+4EC8	仈	⿰亻八
U+4EC9	仉	⿰亻几
U+4ECD	仍	⿰亻乃
U+4ECE	从	⿰人人
U+4ECF	仏	⿰亻厶
U+4ED4	仔	⿰亻子
U+4ED5	仕	⿰亻士
U+4ED6	他	⿰亻也
U+4ED7	仗	⿰亻丈
U+4ED8	付	⿰亻寸
U+4ED9	仙	⿰亻山
U+4EDB	仛	⿰亻乇
U+4EDC	仜	⿰亻工
U+4EDE	仞	⿰亻刃
U+4EDF	仟	⿰亻千
U+4EE0	仠	⿰亻干
U+4EE1	仡	⿰亻乞
U+4EE2	仢	⿰亻勺
U+4EE3	代	⿰亻弋
U+4EE6	仦	⿰亻小
U+4EE8	仨	⿰亻三
U+4EE9	仩	⿰亻上
U+4EEA	仪	⿰亻义
U+4EEB	仫	⿰亻么
U+4EEC	们	⿰亻门
U+4EED	仭	⿰亻刄
U+4EEE	仮	⿰亻反
U+4EEF	仯	⿰亻少
U+4EF0	仰	⿰亻卬
U+4EF1	仱	⿰亻今
U+4EF2	仲	⿰亻中
U+4EF3	仳	⿰亻比
U+4EF4	仴	⿰亻月
U+4EF5	仵	⿰亻午
U+4EF6	件	⿰亻牛
U+4EF7	价	⿰亻介
U+4EF8	仸	⿰亻夭
U+4EF9	仹	⿰亻丰
U+4EFB	任	⿰亻壬
U+4EFC	仼	⿰亻王
U+4EFD	份	⿰亻分
U+4EFE	仾	⿰亻互
U+4EFF	仿	⿰亻方
U+4F00	伀	⿰亻公
U+4F02	伂	⿰亻巿[GTJ]	⿰亻市[K]
U+4F03	伃	⿰亻予
U+4F04	伄	⿰亻弔
U+4F05	伅	⿰亻屯
U+4F06	伆	⿰亻勿
U+4F07	伇	⿰亻殳
U+4F08	伈	⿰亻心
U+4F09	伉	⿰亻亢
U+4F0A	伊	⿰亻尹
U+4F0B	伋	⿰亻及
U+4F0C	伌	⿰亻厄
U+4F0D	伍	⿰亻五
U+4F0E	伎	⿰亻支
U+4F0F	伏	⿰亻犬
U+4F10	伐	⿰亻戈
U+4F11	休	⿰亻木
U+4F12	伒	⿰亻斤
U+4F13	伓	⿰亻不
U+4F14	伔	⿰亻冗[GT]	⿰亻冗[K]
U+4F15	伕	⿰亻夫
U+4F16	伖	⿰亻友
U+4F18	优	⿰亻尤
U+4F19	伙	⿰亻火
U+4F1B	伛	⿰亻区
U+4F1C	伜	⿰亻卆
U+4F1D	伝	⿰亻云
U+4F1F	伟	⿰亻韦
U+4F20	传	⿰亻专
U+4F21	伡	⿰亻车
U+4F22	伢	⿰亻牙
U+4F23	伣	⿰亻见
U+4F25	伥	⿰亻长
U+4F26	伦	⿰亻仑
U+4F27	伧	⿰亻仓
U+4F28	伨	⿰亻匀[G]	⿰亻勻[T]
U+4F29	伩	⿰亻文
U+4F2A	伪	⿰亻为
U+4F2B	伫	⿰亻㝉
U+4F2C	伬	⿰亻尺
U+4F2D	伭	⿰亻玄
U+4F2E	伮	⿰亻奴
U+4F2F	伯	⿰亻白
U+4F30	估	⿰亻古
U+4F31	伱	⿰亻尒
U+4F32	伲	⿰亻尼
U+4F33	伳	⿰亻世
U+4F34	伴	⿰亻半
U+4F35	伵	⿰亻四
U+4F36	伶	⿰亻令
U+4F37	伷	⿰亻由
U+4F38	伸	⿰亻申
U+4F39	伹	⿰亻且
U+4F3A	伺	⿰亻司
U+4F3B	伻	⿰亻平
U+4F3C	似	⿰亻以
U+4F3D	伽	⿰亻加
U+4F3E	伾	⿰亻丕
U+4F3F	伿	⿰亻只
U+4F40	佀	⿰亻㠯
U+4F41	佁	⿰亻台
U+4F42	佂	⿰亻正
U+4F43	佃	⿰亻田
U+4F44	佄	⿰亻甘
U+4F45	佅	⿰亻未
U+4F46	但	⿰亻旦
U+4F47	佇	⿰亻宁
U+4F48	佈	⿰亻布
U+4F49	佉	⿰亻去
U+4F4A	佊	⿰亻皮
U+4F4B	佋	⿰亻召
U+4F4C	佌	⿰亻此
U+4F4D	位	⿰亻立
U+4F4E	低	⿰亻氐
U+4F4F	住	⿰亻主
U+4F50	佐	⿰亻左
U+4F51	佑	⿰亻右
U+4F52	佒	⿰亻央
U+4F53	体	⿰亻本
U+4F54	佔	⿰亻占
U+4F55	何	⿰亻可
U+4F56	佖	⿰亻必
U+4F57	佗	⿰亻它
U+4F5A	佚	⿰亻失
U+4F5B	佛	⿰亻弗
U+4F5C	作	⿰亻乍
U+4F5D	佝	⿰亻句
U+4F5E	佞	⿰亻𡚬
U+4F5F	佟	⿰亻冬
U+4F60	你	⿰亻尔
U+4F61	佡	⿰亻仚
U+4F62	佢	⿰亻巨
U+4F63	佣	⿰亻用
U+4F64	佤	⿰亻瓦
U+4F66	佦	⿰亻石
U+4F67	佧	⿰亻卡
U+4F68	佨	⿰亻包
U+4F69	佩	⿰亻𫥞
U+4F6A	佪	⿰亻回
U+4F6B	佫	⿰亻各
U+4F6C	佬	⿰亻老
U+4F6D	佭	⿰亻夅
U+4F6E	佮	⿰亻合
U+4F6F	佯	⿰亻羊
U+4F70	佰	⿰亻百
U+4F72	佲	⿰亻名
U+4F73	佳	⿰亻圭
U+4F74	佴	⿰亻耳
U+4F75	併	⿰亻并
U+4F76	佶	⿰亻吉
U+4F77	佷	⿰亻艮
